phi,rho,eps,theta,alpha,mu,r,b,gamma,Tumor
0.185293157672323,0.357647331634817,0.179974402858565,9.4562036320373E-06,4.02970542059812E-08,0.00273042344747902,0.0892067338381299,6.79212566212049E-13,1.66817078361599E-06,124.3
0.421974180550792,0.440625439271109,0.0854280136591412,4.68599974399228E-06,7.16791668079887E-08,0.00304145834119924,0.0821997181799844,2.07815107394825E-12,2.18833249288683E-06,142.3
0.320429844449459,0.380018875130131,0.0985583160210439,2.87179149802941E-06,5.4292275521607E-08,0.00433546632417956,0.0875518681651663,7.62636066802268E-13,1.98127043141566E-06,123.6
0.277373312903467,0.344162714357576,0.159488363222845,8.82503620513257E-06,6.77785248982635E-08,0.0042439067431804,0.0849521612924516,1.18570552097787E-12,2.02768780107862E-06,122.5
0.365334821281788,0.439025912761237,0.219233544226307,4.96996745782075E-06,6.49896195651919E-08,0.00725400359089813,0.0852996505578716,1.15884424139883E-12,2.00179962832328E-06,125
0.237276783423481,0.310455243562533,0.117182364750795,4.6274009178974E-06,6.87056693065441E-08,0.00330959798863387,0.0797096028877284,2.08874146356226E-12,1.73550589589168E-06,132.8
0.252703458508301,0.344170601926611,0.116735592755534,3.19428748387908E-06,6.58402445675446E-08,0.00660849445358461,0.0841242761877373,1.46054195814393E-12,1.81843048572701E-06,119.9
0.393443090713381,0.440592130162971,0.0612796596987004,5.25498765792146E-06,6.83668881137414E-08,0.00763766322961618,0.0859823425173409,1.21521120313026E-12,1.88250782141492E-06,114.3
0.365363883741777,0.473683793272643,0.161937988889647,6.50586097045805E-06,7.19843729508901E-08,0.0022933995931213,0.089619683254815,6.55148630263127E-13,1.91832032821372E-06,105.7
0.381398619178661,0.42192181154703,0.0980399577649008,3.6820308661891E-06,5.97458620384944E-08,0.00637259264393971,0.0846680922954274,8.58883457130206E-13,1.50975419769012E-06,115.5
0.139857959053302,0.146073269122406,0.101529816910107,3.91534830715581E-06,5.88868571967562E-08,0.00320790422481444,0.0875946679721793,1.85583618519717E-12,2.21040477298241E-06,132.2
0.179119625211028,0.255803832782546,0.12285883214493,6.91929789185198E-06,6.19389284172429E-08,0.00421866336029172,0.0810596820270797,1.37202432745242E-12,1.91994171144834E-06,170.9
0.154565056920089,0.390849590067299,0.239933524540946,4.4873674436153E-06,5.02341630942478E-08,0.00282164303491723,0.0887034808887101,2.09904742526429E-12,1.74710509800642E-06,114.8
0.314240952778905,0.416775407583318,0.148983845117217,5.17842259711125E-06,6.27449236073838E-08,0.00413655050668068,0.0872821127884225,8.51917249964455E-13,1.8676564297438E-06,113.6
0.343242357858877,0.407959348040367,0.132956818490725,3.29198112121273E-06,7.1063293169796E-08,0.00466892275891425,0.0842144101017112,1.84713525390325E-12,2.23491940729813E-06,129.7
0.269503895539754,0.370476702083809,0.166284003800187,5.1181580235362E-06,6.94029743669683E-08,0.00397424308471948,0.0858109826928452,1.08064546440614E-12,2.49294039631074E-06,138.7
0.191646184217364,0.202109677437103,0.0732271930355459,2.96977366683671E-06,5.46518592610129E-08,0.00402485857680801,0.086023418991354,1.62213369385566E-12,1.95502000968664E-06,134
0.31682248832337,0.3686318922648,0.153544862333923,5.61426876587709E-06,6.95774321735682E-08,0.00538864281948891,0.0885167184538817,1.67749542658743E-12,2.31809888253337E-06,115.4
0.186033654155107,0.306592361013704,0.146210135103421,5.32234498942154E-06,5.92697182682428E-08,0.00355767351901082,0.0826262021752469,9.24177814431049E-13,1.97073528969445E-06,153.8
0.397152054041389,0.415757222075856,0.122387395321728,6.49978450900685E-06,5.15595523721935E-08,0.00223592959390914,0.0875866916387961,1.46985667162802E-12,1.89025567773597E-06,128.7
0.279846347592699,0.309882119682627,0.171038637569834,6.91948969385903E-06,6.35514030388423E-08,0.00418659421043409,0.0859352424961417,1.46086073062444E-12,2.13956736913967E-06,132.2
0.418566390094817,0.567318416155799,0.224610531132692,4.57484436767251E-06,6.60598318647148E-08,0.00699796632239588,0.085581732625897,9.34719744293443E-13,2.26153492325826E-06,131.7
0.278446556710649,0.373018955449542,0.13738411777321,6.4448448668752E-06,5.39450421700729E-08,0.0048331721459349,0.0845597051377788,2.15583756425488E-12,1.51927930473692E-06,119.5
0.268098258836493,0.362418422708555,0.122211302801714,7.75679089735675E-06,6.58051431948211E-08,0.00520347411115125,0.0850262557063589,2.03460076879805E-12,1.63433352940405E-06,114
0.126010191791981,0.16403843081695,0.119128238245651,2.86391558892805E-06,7.1173643712133E-08,0.00227935520150999,0.0866204472796216,2.23265784384849E-12,1.86524205839349E-06,112.1
0.257772698423661,0.348667299855453,0.0995347332362742,5.87971622450811E-06,6.37581513306962E-08,0.004100545949924,0.0788424342478243,1.89732380312107E-12,1.64567620722941E-06,137.4
0.317863391060839,0.340864303091692,0.150809962015029,4.91690033529255E-06,6.87435293894785E-08,0.00701012163660647,0.0865974615625374,9.74433832846145E-13,2.00449637516499E-06,115.9
0.362165849389599,0.43902031093051,0.145909955205698,2.46917175600151E-06,6.84293577136767E-08,0.00762704857260238,0.086821958438162,1.58078468001836E-12,2.550183471212E-06,136
0.260512259757891,0.386458506898141,0.12888017530171,2.99838301342885E-06,4.16442228564272E-08,0.0067421699455745,0.0892646886534262,1.59430714978121E-12,1.96318801378427E-06,203.5
0.219860633314137,0.236570830669822,0.075858813589421,6.49348966163634E-06,6.7132866923865E-08,0.00582755001423188,0.0843516440335917,2.22102834584178E-12,2.10060502857157E-06,127.9
0.377415185890775,0.37780168804955,0.063143008744671,3.60651492909016E-06,4.85166076602159E-08,0.00412397207157244,0.0871878667741647,8.17865165720333E-13,1.91796366355591E-06,154.1
0.21572721159414,0.241234375220143,0.101392223621648,8.92878791528763E-06,6.45661848287036E-08,0.003513952937201,0.0841113245430935,1.42134765993431E-12,1.7176469312655E-06,119.2
0.299538545178197,0.315401762843795,0.207471956808392,8.84254932266924E-06,7.12598623503375E-08,0.00632630998913179,0.089858974549688,1.15464266789644E-12,2.54446329813904E-06,116
0.420793506553319,0.486702384653113,0.151528992837301,4.11012244194576E-06,7.08103757879622E-08,0.00699859830600178,0.0879863181195416,1.10018829502644E-12,1.62517321477104E-06,106.5
0.218351915426691,0.329361137114582,0.224782815277953,6.52393171040502E-06,5.26236019598005E-08,0.00551148169061168,0.0886508251834103,1.56179123112901E-12,2.09187501248052E-06,139.2
0.338323441331018,0.495599518561343,0.183454871565,9.26394821560091E-06,6.79600656524739E-08,0.00431815477150554,0.0801354531914603,1.23860910431028E-12,1.57428363409592E-06,125.4
